;I2M2;classe;p(BAD);p(POOR);p(MODERATE);p(GOOD);p(HIGH)
20100502;0,835528229;1;6,69E-42;4,14E-24;1,94E-11;0,000795586;0,999204414
20100101;0,960373502;1;9,89E-63;4,57E-44;1,07E-28;2,70E-09;0,999999997
20100102;0,979070839;1;1,60E-65;2,14E-46;1,46E-30;2,59E-10;1
20100201;0,841233398;1;1,38E-42;1,27E-24;8,80E-12;0,000531412;0,999468588
20100202;0,803169215;1;4,06E-38;2,65E-21;1,33E-09;0,006199675;0,993800324
20100203;0,824986929;1;1,20E-40;3,56E-23;8,04E-11;0,001622559;0,998377441
20100204;0,813973147;1;2,32E-39;3,21E-22;3,39E-10;0,003264977;0,996735023
20100301;0,235115449;4;0,09308941;0,89029821;0,016612369;1,20E-08;0
20100302;0,272753659;4;0,018484987;0,895424494;0,086089789;7,30E-07;1,11E-16
20100303;0,327983815;4;0,000669766;0,595696046;0,403524364;0,000109824;4,45E-13
20100304;0,276380495;4;0,015396897;0,886354809;0,09824724;1,05E-06;1,11E-16
20100401;0,577685139;2;6,33E-17;6,98E-07;0,084698789;0,896408364;0,018892148
20100402;0,420696567;3;1,79E-07;0,050679966;0,914406275;0,03491351;7,03E-08
20100403;0,415782673;3;3,02E-07;0,061958874;0,91015346;0,027887323;4,07E-08
20100501;0,815681257;1;1,47E-39;2,29E-22;2,72E-10;0,002938298;0,997061701
20100503;0,853223161;1;4,76E-44;1,01E-25;1,61E-12;0,000218423;0,999781577
20100504;0,902515086;1;2,53E-50;1,66E-30;8,01E-16;3,13E-06;0,999996871
20100601;0,489473274;3;4,41E-11;0,001204303;0,660358376;0,338382469;5,49E-05
20100602;0,486870084;3;6,25E-11;0,001433061;0,679239902;0,319282928;4,41E-05
20100603;0,370908455;3;2,26E-05;0,26514292;0,732461727;0,002372722;1,75E-10
20100604;0,431456752;3;5,54E-08;0,031673544;0,912923076;0,055403099;2,26E-07
20100701;0,814889753;1;1,82E-39;2,68E-22;3,01E-10;0,003085824;0,996914176
20100702;0,756592991;1;5,31E-33;1,36E-17;2,77E-07;0,059974663;0,940025059
20100703;0,822599717;1;2,29E-40;5,76E-23;1,10E-10;0,001895511;0,998104489
20100704;0,919742789;1;1,28E-52;2,79E-32;4,45E-17;5,66E-07;0,999999434
20100801;0,902232601;1;2,75E-50;1,77E-30;8,39E-16;3,21E-06;0,999996785
20100802;0,908179844;1;4,50E-51;4,39E-31;3,14E-16;1,81E-06;0,999998194
20100803;0,925225303;1;2,32E-53;7,41E-33;1,73E-17;3,20E-07;0,99999968
20100804;0,951041054;1;6,33E-57;1,22E-35;1,71E-19;1,87E-08;0,999999981
20100901;0,608568998;2;2,70E-19;2,48E-08;0,022688688;0,903807926;0,073503362
20100902;0,551290616;2;4,93E-15;8,95E-06;0,200928244;0,794575849;0,004486957
20100903;0,536983737;2;4,65E-14;3,18E-05;0,291875491;0,706247657;0,001845066
20100904;0,552225611;2;4,25E-15;8,22E-06;0,19564224;0,799607105;0,00474244
20101001;0,928855709;1;3,61E-58;2,79E-40;1,09E-25;1,03E-07;0,999999897
20101002;0,90034931;1;3,39E-54;5,24E-37;4,05E-23;1,96E-06;0,99999804
20101003;0,944783956;1;1,88E-60;3,59E-42;3,47E-27;1,72E-08;0,999999983
20101004;0,964976538;1;2,06E-63;1,24E-44;3,78E-29;1,54E-09;0,999999998
20101103;0,793172666;1;5,48E-37;1,79E-20;4,49E-09;0,010791673;0,989208323
20101104;0,728685481;1;4,05E-30;1,50E-15;4,50E-06;0,161471873;0,838523623
20101201;0,547659395;2;8,79E-15;1,24E-05;0,222255064;0,774125133;0,003607363
20101202;0,735137814;1;8,98E-31;5,20E-16;2,43E-06;0,131481715;0,868515855
20101203;0,514840665;2;1,27E-12;0,000192909;0,460664157;0,538743303;0,000399631
20101204;0,634028422;2;2,24E-21;1,19E-09;0,005900933;0,818769313;0,175329752
20101301;0,888624641;1;1,64E-48;4,09E-29;7,54E-15;1,14E-05;0,999988597
20101302;0,922186701;1;5,98E-53;1,55E-32;2,93E-17;4,40E-07;0,99999956
20101303;0,975418336;1;2,12E-60;2,24E-38;1,71E-21;1,00E-09;0,999999999
20101304;0,858977869;1;9,28E-45;2,94E-26;6,96E-13;0,000139751;0,999860249
20101403;0,845568717;1;4,11E-43;5,12E-25;4,79E-12;0,000387797;0,999612203
20101404;0,843579265;1;7,17E-43;7,77E-25;6,34E-12;0,000448524;0,999551476
20101501;0,906869964;1;6,71E-51;5,97E-31;3,90E-16;2,05E-06;0,999997947
20101502;0,881666657;1;1,29E-47;1,98E-28;2,25E-14;2,12E-05;0,99997882
20101503;0,860672192;1;5,72E-45;2,04E-26;5,42E-13;0,000122232;0,999877768
20101601;0,76586824;1;2,10E-37;1,62E-23;6,10E-13;0,029687751;0,970312249
20101602;0,824042818;1;2,84E-44;5,86E-29;5,95E-17;0,001083057;0,998916943
20101603;0,771146536;1;5,30E-38;5,51E-24;2,79E-13;0,023154709;0,976845291
20101604;0,834867244;1;1,29E-45;4,89E-30;9,17E-18;0,000507719;0,999492281
20101701;0,379545912;3;6,40E-07;0,02383044;0,78733485;0,188834026;4,43E-08
20101702;0,412156518;3;1,85E-08;0,004115706;0,583004537;0,412878349;1,39E-06
20101703;0,170165472;4;0,276886868;0,711523121;0,011589868;1,43E-07;0
20101704;0,453352632;2;1,14E-10;0,000251846;0,268624012;0,731065133;5,90E-05
20101801;0,842542665;1;9,57E-43;9,65E-25;7,33E-12;0,000483551;0,999516449
20101802;0,851920081;1;6,89E-44;1,33E-25;1,94E-12;0,000241234;0,999758766
20101803;0,843575669;1;7,17E-43;7,78E-25;6,34E-12;0,000448641;0,999551359
20101804;0,923252894;1;4,29E-53;1,20E-32;2,43E-17;3,94E-07;0,999999606
20101901;0,878403444;1;3,36E-47;4,11E-28;3,74E-14;2,81E-05;0,99997187
20101902;0,890931919;1;8,24E-49;2,42E-29;5,23E-15;9,25E-06;0,999990752
20101903;0,923609679;1;3,84E-53;1,10E-32;2,29E-17;3,79E-07;0,999999621
20101904;0,883297605;1;7,95E-48;1,37E-28;1,75E-14;1,84E-05;0,99998165
20102001;0,695365627;1;7,35E-27;2,70E-13;8,39E-05;0,377454814;0,622461335
20102002;0,610509527;2;1,89E-19;1,99E-08;0,020648497;0,900198108;0,079153374
20102003;0,675425174;2;5,28E-25;4,89E-12;0,000391909;0,536607729;0,463000362
20102004;0,652207118;2;6,23E-23;1,16E-10;0,001944201;0,711763315;0,286292484
20102101;0,680668502;1;1,74E-25;2,32E-12;0,000265218;0,494320556;0,505414227
20102102;0,720618155;1;2,60E-29;5,49E-15;9,52E-06;0,204782429;0,795208054
20102103;0,665042622;2;4,58E-24;2,07E-11;0,000822911;0,61848489;0,380692199
20102104;0,654288287;2;4,10E-23;8,82E-11;0,00169848;0,697465269;0,300836251
20102201;0,786219349;1;3,27E-36;6,58E-20;1,02E-08;0,015524042;0,984475948
20102202;0,82523151;1;1,12E-40;3,39E-23;7,78E-11;0,001596719;0,998403281
20102203;0,790965811;1;9,69E-37;2,71E-20;5,85E-09;0,012135311;0,987864683
20102301;0,684364191;1;7,92E-26;1,36E-12;0,00020012;0,464499227;0,535300653
20102302;0,633075344;2;2,69E-21;1,34E-09;0,006233112;0,823385734;0,170381153
20102303;0,669551655;2;1,80E-24;1,11E-11;0,00059932;0,583394496;0,416006183
20102304;0,559265723;2;1,36E-15;4,26E-06;0,158605441;0,834269997;0,007120299
20102401;0,71225721;1;4,47E-30;9,56E-17;1,69E-07;0,370680011;0,62931982
20102402;0,687177918;2;1,32E-27;5,89E-15;2,20E-06;0,571070221;0,428927582
20102403;0,813271625;1;3,73E-41;4,41E-25;4,28E-13;0,008636655;0,991363345
20102404;0,772241687;1;1,95E-36;1,77E-21;1,32E-10;0,060828985;0,939171015
